0 1579805038.0 1652418880.0 1366659742.0 1706957896.0 1722627942.0 1270052770.0 1604236886.0 1387906394.0 1380639848.0 1728227956.0
20 1752467640.0 1696433102.0 1354377178.0 1260350126.0 1335486194.0 1733190354.0 1329801046.0 1702600032.0 1370823818.0 1643588086.0
40 1405477108.0 1345951838.0 1733746196.0 1745347730.0 1721671014.0 1280854148.0 1628296082.0 1493129904.0 1716551578.0 1743643216.0
60 1580603500.0 1714661718.0 1367393160.0 1278845246.0 1679982892.0 1681540812.0 1333147508.0 1735280414.0 1509208008.0 1738885596.0
80 1354101000.0 1780132690.0 1594337346.0 1679051388.0 1397202394.0 1409302370.0 1805841646.0 1749031830.0 1502653152.0 1717943206.0
100 1677421326.0 1780024246.0 1766746660.0 1390507202.0 1697462634.0 1338800316.0 1375157378.0 1782301584.0 1733770010.0 1678714982.0
120 1340128370.0 1646125712.0 1695186836.0 1931185886.0 1884134896.0 1312296972.0 1841569660.0 1677372494.0 1500636522.0 1832525548.0
140 1673869778.0 1369813956.0 1810485698.0 1748628924.0 1686773844.0 1773812502.0 1293765788.0 1875354670.0 1720921972.0 1805051304.0
160 1538001136.0 1580924212.0 1565550196.0 1663734184.0 1567886656.0 1516497668.0 1650192334.0 1622401424.0 1548257424.0 1521716504.0
180 1351857094.0 1337947366.0 1358001526.0 1336732992.0 1343773998.0 1321447302.0 1345293250.0 1368285408.0 1300868702.0 1337545776.0
200 1212447432.0 1230017222.0 1187189612.0 1166173596.0 1190623602.0 1204172382.0 1192907506.0 1207269518.0 1223492648.0 1207914610.0
220 1177776054.0 1117532696.0 1095863216.0 1076556558.0 1077830768.0 1078632436.0 1085586166.0 1075995718.0 1085776482.0 1091789944.0
240 1021901930.0 997424946.0 984020310.0 987627746.0 1004513678.0 1003515800.0 1009230040.0 1011328416.0 984036480.0 963289474.0
260 934340736.0 920359314.0 923649118.0 952990052.0 946757532.0 906128804.0 915860960.0 947880094.0 932203496.0 937259204.0
280 915604690.0 870327094.0 874826666.0 874167434.0 886056038.0 865552702.0 870130912.0 869912274.0 876079400.0 875771932.0
300 816558470.0 803117364.0 797065276.0 821569854.0 807562448.0 792692026.0 808316978.0 814216284.0 831360460.0 819107520.0
320 751669128.0 734950748.0 770954982.0 785350482.0 766428866.0 745021984.0 776322260.0 760471348.0 770535682.0 768061476.0
340 715945608.0 725961614.0 705831238.0 695441432.0 705061042.0 723804256.0 724879512.0 704810652.0 724553088.0 719827640.0
360 679356342.0 686206780.0 673381226.0 678299160.0 673253812.0 677319020.0 664371722.0 682602592.0 677693702.0 674742908.0
380 648062590.0 623481530.0 624231594.0 627844154.0 629308106.0 632346442.0 646123366.0 634547984.0 649930232.0 640109484.0
400 617212442.0 615625850.0 595560504.0 609446138.0 616907564.0 614770324.0 611211664.0 603436344.0 609163646.0 599842138.0
