0 1750901740.0 1735220032.0 1935420760.0 1783360236.0 1718973760.0 1939673288.0 1746916248.0 1902047630.0 1929303782.0 1713083120.0
20 1713782280.0 1739206112.0 1915252094.0 1931231526.0 1891079344.0 1732024770.0 1900918236.0 1657323346.0 1831965856.0 1783795272.0
40 1832703922.0 1922005652.0 1737190350.0 1742028610.0 1751591212.0 1935140004.0 1714458998.0 1855698698.0 1667556520.0 1785994196.0
60 1850883132.0 1767414208.0 1892171750.0 1924784526.0 1686588554.0 1756755952.0 1941077222.0 1619393202.0 1766575818.0 1783224898.0
80 1966552000.0 1725165568.0 1887121110.0 1731138052.0 1932118412.0 1906167662.0 1732349682.0 1801345812.0 1836476852.0 1716555008.0
100 1798843634.0 1678746860.0 1755069512.0 1945141128.0 1824918676.0 1950410336.0 1947098608.0 1801123744.0 1747262524.0 1730766562.0
120 1949758776.0 1775986520.0 1808042572.0 1718381742.0 1747891992.0 1941037826.0 1774353168.0 1779375598.0 1889618402.0 1653632806.0
140 1769934670.0 1969356144.0 1669946810.0 1743705838.0 1780602278.0 1767853752.0 1942404604.0 1694690998.0 1705246830.0 1777399218.0
160 939471120.0 924919226.0 933760982.0 846957342.0 919783466.0 940992108.0 892059798.0 914801692.0 941863468.0 947654554.0
180 871363290.0 877796234.0 863020760.0 882134064.0 875574728.0 908266702.0 884449762.0 846597402.0 921733610.0 885267754.0
200 838779984.0 811703998.0 861508550.0 875152824.0 862698704.0 846155366.0 865662182.0 845024698.0 825879418.0 837452994.0
220 828325946.0 787901688.0 793344132.0 827391292.0 824136684.0 826855554.0 815371326.0 822106166.0 818606698.0 811969004.0
240 752060442.0 775062582.0 789401536.0 784505372.0 766146038.0 768197346.0 759221862.0 758324854.0 790923560.0 802624704.0
260 731355352.0 737781632.0 736755446.0 711301514.0 712913138.0 757816346.0 744565486.0 716680650.0 727005692.0 730823688.0
280 689741234.0 698717922.0 694590778.0 697259192.0 681275112.0 707408044.0 688686866.0 702213386.0 704797898.0 685905318.0
300 661819662.0 671705916.0 665441168.0 657470870.0 676834522.0 686478688.0 667612022.0 667013046.0 647822406.0 665497434.0
320 655829622.0 664166062.0 633436370.0 618668050.0 634821698.0 662576894.0 627370464.0 647199602.0 631417360.0 636678154.0
340 618548126.0 611492672.0 628139498.0 627231808.0 629029380.0 611644768.0 613326644.0 629282304.0 615401416.0 609934220.0
360 594386478.0 583414426.0 602060634.0 597664312.0 597935478.0 597303266.0 622085828.0 590747766.0 593957532.0 593704860.0
380 573048532.0 585048296.0 587960156.0 581115696.0 582470840.0 578771662.0 567582932.0 575658748.0 555768290.0 578096022.0
400 547478652.0 551180028.0 571101776.0 558599734.0 538921488.0 550799172.0 554798636.0 563388798.0 549973410.0 566053600.0
